--- Execution profile ---
Total samples       : 51403

          ns  percent  samples  top
    26000000    0.05%       26  PhaseChaitin::build_ifg_physical
    26000000    0.05%       26  net.minecraft.server.level.ServerPlayerGameMode.getGameModeForPlayer
    26000000    0.05%       26  net.minecraft.world.entity.ai.behavior.declarative.BehaviorBuilder$Instance$1.tryTrigger
    26000000    0.05%       26  PhaseLive::add_liveout
    26000000    0.05%       26  net.minecraft.world.level.LevelHeightAccessor.getMaxY
    26000000    0.05%       26  java.util.LinkedHashMap$LinkedHashIterator.<init>
    26000000    0.05%       26  net.minecraft.world.phys.Vec3.get
    26000000    0.05%       26  com.google.common.collect.AbstractIndexedListIterator.hasNext
    26000000    0.05%       26  net.minecraft.world.entity.Entity.baseTick
    26000000    0.05%       26  net.minecraft.core.BlockPos$4.<init>
    26000000    0.05%       26  net.minecraft.world.entity.ai.navigation.PathNavigation.tick
    25000000    0.05%       25  net.minecraft.world.entity.LivingEntity.checkFallDamage
    25000000    0.05%       25  net.minecraft.world.entity.LivingEntity.baseTick
    25000000    0.05%       25  net.minecraft.server.level.ChunkMap.updatePlayerMobTypeMap
    25000000    0.05%       25  net.minecraft.core.SectionPos.sectionToBlockCoord
    25000000    0.05%       25  java.util.concurrent.atomic.AtomicIntegerFieldUpdater$AtomicIntegerFieldUpdaterImpl.lazySet
    25000000    0.05%       25  net.minecraft.world.entity.LivingEntity.maxUpStep
    25000000    0.05%       25  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.isNeighborValid
    25000000    0.05%       25  net.minecraft.world.level.pathfinder.PathfindingContext.level
    25000000    0.05%       25  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.doesBlockHavePartialCollision
    24000000    0.05%       24  sun.misc.Unsafe.compareAndSwapLong
    24000000    0.05%       24  ca.spottedleaf.concurrentutil.map.SWMRLong2ObjectHashTable.getEntryForOpaque
    24000000    0.05%       24  net.minecraft.server.level.ServerChunkCache.getChunkAtIfLoadedImmediately
    24000000    0.05%       24  PhaseIdealLoop::is_dominator
    24000000    0.05%       24  net.minecraft.server.level.ServerLevel.tickChunk
    24000000    0.05%       24  ca.spottedleaf.moonrise.common.list.ShortList.getRaw
    24000000    0.05%       24  jlong_disjoint_arraycopy
    24000000    0.05%       24  com.google.common.collect.ImmutableEntry.getKey
    24000000    0.05%       24  net.minecraft.world.entity.Entity.setSharedFlag
    24000000    0.05%       24  BarrierSetNMethod::nmethod_stub_entry_barrier
    24000000    0.05%       24  net.minecraft.world.entity.Entity.setPosRaw
    24000000    0.05%       24  io.netty.channel.ChannelOutboundBuffer.addFlush
    23000000    0.04%       23  Method::is_method_handle_intrinsic
    23000000    0.04%       23  net.minecraft.world.entity.Entity.getFireImmuneTicks
    23000000    0.04%       23  java.util.EnumSet.noneOf
    23000000    0.04%       23  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.tryJumpOn
    23000000    0.04%       23  net.minecraft.world.phys.Vec3.<init>
    23000000    0.04%       23  void OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceMirrorKlass, narrowOop>
    23000000    0.04%       23  net.minecraft.world.level.GameRules.getRule
    23000000    0.04%       23  G1CardSet::add_to_howl
    23000000    0.04%       23  PhaseIdealLoop::Dominators
    23000000    0.04%       23  ca.spottedleaf.moonrise.patches.chunk_system.level.entity.EntityLookup.getRegion
    23000000    0.04%       23  net.minecraft.world.level.pathfinder.PathFinder.getBestH
    22000000    0.04%       22  io.netty.util.concurrent.SingleThreadEventExecutor.pollTaskFrom
    22000000    0.04%       22  net.minecraft.world.item.enchantment.EnchantmentHelper.runIterationOnEquipment
    22000000    0.04%       22  net.minecraft.world.level.chunk.ChunkAccess.getSections
    22000000    0.04%       22  net.minecraft.world.entity.Entity.getType
    22000000    0.04%       22  java.util.HashMap.hash
    22000000    0.04%       22  java.util.HashMap.keySet
    22000000    0.04%       22  clock_gettime
    22000000    0.04%       22  net.minecraft.world.entity.EntityEquipment.get
    22000000    0.04%       22  net.minecraft.world.level.Level.getChunk
    22000000    0.04%       22  io.papermc.paper.util.PoiAccess.clamp
    22000000    0.04%       22  ca.spottedleaf.moonrise.common.set.OptimizedSmallEnumSet.hasCommonElements
    21000000    0.04%       21  flush_icache_stub
    21000000    0.04%       21  G1MonotonicArena::allocate
    21000000    0.04%       21  net.minecraft.world.level.chunk.LevelChunkSection.moonrise$getTickingBlockList
